Ano;Mês;Município;Município do Porto de Saída;Aparelho de Pesca;Nível Taxonômico;Pescado;Tipo de Pesca;kg no Período;nº de descargas do período;nº de Unidades Produtivas;valor estimado no período
2016;10;Antonina;Antonina;arrasto-simples;Peixe Ósseo;Bagre-amarelo;Artesanal;2.00;1;1;R$ 6.00
2016;10;Antonina;Antonina;arrasto-simples;Peixe Ósseo;Pescada-amarela;Artesanal;1.50;1;1;R$ 28.28
2016;10;Antonina;Antonina;emalhe-de-batida;Peixe Ósseo;Bagre-amarelo;Artesanal;21.00;2;1;R$ 63.00
2016;10;Antonina;Antonina;emalhe-de-batida;Peixe Ósseo;Parati;Artesanal;3.00;1;1;R$ 15.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Bagre-amarelo;Artesanal;70.00;8;4;R$ 210.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Bagre-branco;Artesanal;1.00;1;1;R$ 7.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Corvina;Artesanal;1.00;1;1;R$ 9.24
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Parati;Artesanal;35.00;1;1;R$ 175.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Pescada-amarela;Artesanal;5.00;2;1;R$ 94.25
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Robalo-flecha;Artesanal;4.00;1;1;R$ 82.08
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Robalo-peva;Artesanal;55.00;9;4;R$ 1100.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Saguá;Artesanal;15.00;1;1;R$ 111.90
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Tainha;Artesanal;22.00;6;3;R$ 240.46
2016;10;Antonina;Antonina;emalhe-de-superfície;Peixe Ósseo;Parati;Artesanal;15.00;1;1;R$ 75.00
2016;10;Antonina;Antonina;emalhe-de-superfície;Peixe Ósseo;Tainha;Artesanal;30.00;1;1;R$ 327.90
2016;10;Antonina;Antonina;emalhes-diversos;Peixe Ósseo;Bagre-amarelo;Artesanal;18.00;4;1;R$ 54.00
2016;10;Antonina;Antonina;emalhes-diversos;Peixe Ósseo;Robalo-peva;Artesanal;9.00;3;1;R$ 180.00
2016;10;Antonina;Antonina;emalhes-diversos;Peixe Ósseo;Tainha;Artesanal;9.00;4;1;R$ 98.37
2016;10;Antonina;Antonina;espinhéis-diversos;Peixe Ósseo;Bagre-amarelo;Artesanal;207.00;7;3;R$ 717.20
2016;10;Antonina;Antonina;espinhéis-diversos;Peixe Ósseo;Bagre-branco;Artesanal;25.00;1;1;R$ 175.00
2016;10;Antonina;Antonina;extrativismo;Molusco;Mexilhão-do-mangue;Artesanal;55.00;9;4;R$ 275.00
2016;10;Antonina;Antonina;extrativismo;Molusco;Ostra;Artesanal;29.88;2;1;R$ 288.04
2016;10;Antonina;Antonina;gaiola;Crustáceo;Siri-azul;Artesanal;3.00;1;1;R$ 63.42
2016;10;Antonina;Antonina;gerival;Crustáceo;Camarão-estuarino;Artesanal;64.91;31;11;R$ 1668.01
2016;10;Antonina;Antonina;linha-de-mão;Peixe Ósseo;Acará;Artesanal;1.00;1;1;R$ 0.00
2016;10;Antonina;Antonina;linha-de-mão;Peixe Ósseo;Bagre-branco;Artesanal;5.00;1;1;R$ 35.00
2016;10;Antonina;Antonina;linha-de-mão;Peixe Ósseo;Baiacú;Artesanal;7.50;3;3;R$ 126.30
2016;10;Antonina;Antonina;linha-de-mão;Peixe Ósseo;Bicuda;Artesanal;2.70;1;1;R$ 0.00
2016;10;Antonina;Antonina;linha-de-mão;Peixe Ósseo;Robalo-peva;Artesanal;3.00;2;1;R$ 60.00
2016;10;Antonina;Antonina;puçá;Crustáceo;Siri-azul;Artesanal;162.40;37;15;R$ 3433.14
2016;10;Antonina;Antonina;vara-de-pesca;Peixe Ósseo;Acará;Artesanal;1.00;1;1;R$ 0.00
